ID|Nombre|Categoria|Rating
1023|Yugo the non-game|Casual / Simulacion|7.4
1024|Tomb Raider|Accion / Aventura|9.3
1025|Hoop Land|Deportes / Arcade|8.5
1026|Hoop Land Demo|Deportes / Demo|8.0
1027|SurrounDead Poly Construction|Supervivencia / Sandbox|7.6
1028|Aeonic|Aventura / Rol|6.9
1029|8:AM|Terror Psicologico / Narrativo|7.0
1030|Nocturnal|Accion / Plataformas|7.8
1031|RV There Yet?|Aventura / Simulacion|7.2
1032|Golf With Your Friends|Deportes / Multijugador|9.0
1033|My Voice Zoo|Casual / Simulacion|6.7
1034|Nine Hells|Terror / Suspenso|6.3
1035|Stickman Killing Zombies!|Accion / Casual|7.1
1036|Cold Road|Supervivencia / Suspenso|7.3
1037|Legend of Keepers|Estrategia / Roguelike|8.1
1038|Graveyard Keeper|Simulacion / Rol|8.6
1039|House Flipper|Simulacion / Diseno|9.3
1040|Depths of Horror|Terror / Indie|6.5
1041|Dead by Daylight|Terror Asimetrico|8.1
1042|Cities: Skylines|Simulacion / Estrategia|9.3
1043|Ori and the Blind Forest|Plataformas / Metroidvania|9.6
1044|Ori and the Blind Forest Definitive Edition|Plataformas / Metroidvania|9.7
1045|Paragnosia|Terror / Suspenso|6.8
1046|Delivery & Beyond|Casual / Simulacion|7.0
1047|Dragon Ball FighterZ|Peleas / Anime|9.1
1048|Magellania|Anime / Novela Visual|7.3
1049|The Battle of Polytopia|Estrategia por Turnos|9.5
1050|Doki Doki Literature Club Plus!|Terror Psicologico / Novela Visual|9.6
1051|Cursedland|Terror / Aventura|6.5
1052|Along the Edge|Novela Visual / Narrativo|8.4
1053|Kiki|Casual / Indie|7.2
1054|Cult of the Lamb|Roguelike / Gestion|9.4
1055|Gone Fishing|Casual / Pesca|7.0
1056|RimWorld|Simulacion de Colonia / Estrategia|9.8
1057|Overcooked! 2|Cooperativo / Cocina|9.0
1058|Faceminer|Distopia / Simulacion|7.5
1059|Just Cause 3|Accion / Mundo Abierto|8.8
1060|Sniper Elite III|Accion / Sigilo|8.2
1061|Balatro|Roguelike / Cartas|9.7
1062|Subnautica|Supervivencia / Exploracion|9.6
1063|Billie's Wheelie|Casual / Arcade|6.9
1064|Monster Hunter: World|Accion / Rol (RPG)|9.3
1065|Caveman World: Mountains of Unga Boonga|Plataformas / Casual|6.5
1066|Dispatch|Casual / Simulacion|7.4
1067|Slime Rancher|Aventura / Sandbox|9.7
1068|The Deed: Dynasty|Rol / Crimen|8.3
1069|Undercroft Warriors|Accion / Hack and Slash|7.0
1070|Rat Quest|Casual / Plataformas|7.2
1071|Banana Hell|Plataformas / Dificil|7.5
1072|100% Orange Juice!|Juego de Tablero / Anime|9.1
1073|For Honor|Accion / Peleas Medievales|7.5
1074|Wild Terra 2|MMORPG / Supervivencia|6.2
1075|No Man's Sky|Exploracion Espacial / Sandbox|7.8
1076|Just Ignore Them|Terror Pixel Art|7.9
1077|Alan Wake|Accion / Suspenso|8.9
1078|Assassin's Creed Unity|Accion / Sigilo|7.5
1079|Assassin's Creed Valhalla|Accion / Rol (RPG)|7.6
1080|Content Warning|Terror Cooperativo|9.2
1081|Black Desert|MMORPG|7.5
1082|Lumencraft|Estrategia / Shooter Top-Down|8.1
1083|Mortal Kombat 1|Peleas|7.3
1084|The Witcher 3: Wild Hunt|Accion / Rol (RPG)|9.7
1085|Hellslave|Rol / Dungeon Crawler|7.1
1086|What the Fak?!|Casual / Casual|6.8
1087|Mister Furry Hot Muscles|Casual / Memes|8.2
1088|Sky: Children of the Light|Aventura / Social|8.7
1089|Borderlands 2|Shooter / Rol (RPG)|9.5
1090|Plague Inc: Evolved|Estrategia / Simulacion|9.4
1091|Rebel Inc: Escalation|Estrategia / Simulacion|8.5
1092|Undertale|Rol (RPG) / Indie|9.6
1093|Cuphead|Accion / Plataformas|9.6
1094|Mini Motorways|Estrategia / Puzles|9.6
1095|Resident Evil 6|Accion / Terror|7.9
1096|Dying Light|Supervivencia / Parkour / Terror|9.5
1097|Metro 2033 Redux|Shooter / Atmosferico|9.3
1098|Devil May Cry HD Collection|Accion / Hack and Slash|9.2
1099|Rec Room|Social / Multijugador|8.5
1100|Golden Light|Terror Roguelike|8.9
1101|Marvel Rivals|Hero Shooter / Multijugador|8.5
1102|Mini Thief|Sigilo / Estrategia|7.4
1103|Run Prop Run!|Multijugador / Casual|7.6
1104|Doom|Shooter / Accion FPS|9.5
1105|Mad Max|Accion / Mundo Abierto|9.1
1106|The Walking Dead|Aventura Narrativa|9.7
1107|Alice: Madness Returns|Accion / Plataformas Oscuro|8.9
1108|Beyond: Two Souls|Aventura Narrativa / Drama|8.8
1109|Celeste|Plataformas / Dificil|9.7
1110|Sneak Out|Multijugador / Casual|7.5
1111|Assassin's Creed Origins|Accion / Rol (RPG)|8.6
1112|Hollow Knight|Metroidvania / Dificil|9.7
1113|Star Wars Jedi: Fallen Order|Accion / Aventura|8.9
1114|Banana Shooter|Shooter / Memes|8.4
1115|Left 4 Dead|Shooter Cooperativo / Zombies|9.6
1116|Batman: Arkham Knight|Accion / Aventura|9.0
1117|The Forest|Supervivencia Terror|9.5
1118|Throne and Liberty|MMORPG|7.1
1119|Left 4 Dead 2|Shooter Cooperativo / Zombies|9.7
1120|Muck|Supervivencia / Roguelike|9.3
1121|Supermarket Together|Simulacion / Cooperativo|8.8
1123|tModLoader|Herramientas / Sandbox|9.8
1124|Cakey's Twisted Bakery|Terror / Indie|7.4
1125|Terraria|Sandbox / Aventura|9.8
1126|Assetto Corsa|Simulacion / Carreras|9.2
1127|Puppet Master: The Game|Terror Asimetrico|7.0
1128|Dark and Darker|Dungeon Crawler / Extraccion|8.1
1129|MultiVersus|Peleas / Plataformas|7.2
1130|Warhammer 40,000: Gladius|Estrategia 4X|8.0
1131|Deceit II|Terror / Deduccion Social|6.5
1132|Deceit|Terror / Deduccion Social|7.8
1133|Hawked|Shooter / Extraccion|7.1
1134|Palia|Simulacion de Vida / Relajante|8.1
1136|Warframe|Shooter / Accion Loooter|9.1
1137|Crab Game|Multijugador / Casual|9.2
1138|Farlight 84|Battle Royale / Shooter|7.9
1139|Blackwake|Accion Naval / Multijugador|8.7
1140|Polygon|Shooter FPS Low-Poly|8.3
1141|Splitgate|Shooter / Portales|9.1
1142|Project: PLAYTIME|Terror Asimetrico|7.0
1143|Poppy Playtime|Terror de Mascotas|8.1
1144|StrangerZ|Terror Multijugador|7.2
1145|One-Armed Robber|Simulacion / Atracos|8.5
1146|SCP: Secret Laboratory|Terror Multijugador|9.1
1147|World War Z|Shooter Cooperativo / Zombies|8.4
1148|The Universim|Simulacion de Dios / Estrategia|8.7
1149|The Finals|Shooter FPS Competitivo|8.8
1150|Escape Memoirs: Questionable Side Stories|Puzles / Escape Room|8.2
1151|Escape Memoirs: Mini Stories|Puzles / Escape Room|8.3
1152|Night of the Full Moon|Estrategia / Cartas Roguelike|9.0
1153|Brawlhalla|Peleas / Plataformas|8.6
1154|Apex Legends|Battle Royale / Shooter|7.9
1155|Counter-Strike 2|Shooter Táctico|8.1
1156|Naraka: Bladepoint|Battle Royale / Accion Melee|8.0
1157|Metro: Last Light Complete Edition|Shooter / Atmosferico|9.4
1158|911 Operator|Simulacion / Estrategia|8.8
1159|Running With Rifles|Tactico / Top-Down Shooter|8.8
1160|Rusted Warfare|Estrategia en Tiempo Real|9.5
1161|People Playground|Sandbox / Sandbox de Fisica|9.8
1162|Project Zomboid|Supervivencia Zombie|9.4
1163|Euro Truck Simulator 2|Simulacion / Conduccion|9.7
1164|WorldBox|Simulacion de Dios / Sandbox|9.4
1165|Phasmophobia|Terror Cooperativo|9.6
1166|Tell Me Why|Aventura Narrativa|8.3
1167|ARK: Survival Evolved|Supervivencia / Dinosaurios|8.3
1168|The Witcher Enhanced Edition|Rol (RPG)|8.5
1169|Batman: The Enemy Within|Aventura Narrativa|9.1
1171|Middle-earth: Shadow of Mordor|Accion / Aventura|9.1
1172|Middle-earth: Shadow of War|Accion / Rol (RPG)|8.8
1173|Detroit: Become Human|Aventura Narrativa / Elecciones|9.5
1174|Injustice 2|Peleas / Superheroes|8.6
1175|Mortal Kombat 11|Peleas|9.0
1176|Warhammer: Vermintide 2|Accion Cooperativa|8.9
1177|Wednesdays|Terror Surrealista|7.5
1178|Fishing Planet|Simulacion / Pesca|8.2
1179|Bully: Scholarship Edition|Mundo Abierto / Accion|8.9
1180|Space Pilgrim|Rol / Aventura Retro|8.0
1181|Distant Space|Estrategia / Casual|7.4
1182|Batman 2: DC Super Heroes|LEGO / Plataformas / Accion|8.9
1183|LEGO The Lord of the Rings|LEGO / Plataformas / Accion|9.0
1184|LEGO The Hobbit|LEGO / Plataformas / Accion|8.7
1185|Banana|Casual / Clicker|8.0
1186|Slapshot: Rebound|Deportes / Hockey|8.4
1187|Pico Park|Cooperativo / Puzles|9.0
1188|We Were Here|Cooperativo / Puzles|9.1
1189|Space Engineers|Construccion / Sandbox Espacial|8.9
1190|Doom Eternal|Shooter FPS / Accion|9.6
1191|Hades|Roguelike / Accion|9.8
1192|Skate.|Deportes / Skate|8.5
1193|Hollow Knight: Silksong|Metroidvania|9.5
1194|LAN Party|Casual / Multijugador|7.3
1195|Devil May Cry 4 Special Edition|Accion / Hack and Slash|9.1
1196|Peak|Casual|7.0
1197|Loddlenaut|Aventura / Limpieza Subacuatica|9.4
1198|Stardew Valley|Simulacion de Granja / Relajante|9.8
1199|Guntouchables|Accion / Shooter|7.6
1200|Aimlabs|Entrenamiento / Shooter|9.4
1201|Civilization VI|Estrategia 4X|9.2
1203|Garry's Mod|Sandbox / Creativo|9.6
1204|Blasphemous|Metroidvania / Souls-like|9.3
1205|Halo: The Master Chief Collection|Shooter / FPS Sci-Fi|9.3
1206|SteamWorld Dig|Aventura / Mineria / Plataformas|9.2
1207|Devil May Cry 5|Accion / Hack and Slash|9.5
1208|Tom Clancy's Rainbow Six Siege|Tactico / Shooter FPS|8.6
1209|ARK: Survival of the Fittest|Battle Royale / Dinosaurios|7.2
1210|Little Nightmares|Terror / Plataformas / Suspenso|9.4
1211|Assassin's Creed II|Accion / Sigilo / Historia|9.0
1212|Assassin's Creed Brotherhood|Accion / Sigilo / Historia|9.2
1213|Assassin's Creed Revelations|Accion / Sigilo / Historia|8.8
1214|Assassin's Creed III Remastered|Accion / Sigilo / Historia|8.0
1215|Assassin's Creed IV Black Flag|Accion / Aventura / Piratas|9.5
1216|Assassin's Creed Rogue|Accion / Sigilo / Naval|8.5
1217|Assassin's Creed Syndicate|Accion / Sigilo / Industrial|8.2
1218|Assassin's Creed Odyssey|Accion / Rol (RPG) / Grecia|8.9
1219|God of War (2018)|Accion / Aventura / Mitologia|9.7
1220|God of War Ragnarök|Accion / Aventura / Mitologia|9.6
1221|Red Dead Redemption 2|Accion / Mundo Abierto / Western|9.8
1222|Grand Theft Auto V|Accion / Mundo Abierto / Sandbox|9.5
1223|Elden Ring|Souls-like / Accion RPG / Mundo Abierto|9.7
1224|Cyberpunk 2077|Accion RPG / Cyberpunk / Mundo Abierto|9.0
1225|The Last of Us Part I|Accion / Aventura / Narrativo|9.2
